tripduration,starttime,stoptime,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,usertype,birthyear,gender
253,2/21/2015 12:00,2/21/2015 12:04,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,1103,Customer,1962,2
356,2/21/2015 12:01,2/21/2015 12:07,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,107,Ames St at Main St,42.3625,-71.08822,966,Subscriber,1985,1
350,2/21/2015 12:01,2/21/2015 12:07,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,107,Ames St at Main St,42.3625,-71.08822,862,Subscriber,1988,1
261,2/21/2015 12:01,2/21/2015 12:06,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,141,Kendall Street,42.36356016,-71.08216792,1298,Subscriber,1975,1
365,2/21/2015 12:05,2/21/2015 12:11,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,660,Subscriber,1990,1
332,2/21/2015 12:17,2/21/2015 12:23,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,756,Customer,1973,1
543,2/21/2015 12:24,2/21/2015 12:33,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,898,Subscriber,1986,1
485,2/21/2015 12:40,2/21/2015 12:48,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,801,Subscriber,1974,2
739,2/21/2015 12:45,2/21/2015 12:58,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,875,Subscriber,1984,1
265,2/21/2015 13:02,2/21/2015 13:06,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1110,Subscriber,1992,1
547,2/21/2015 13:03,2/21/2015 13:12,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,714,Subscriber,1986,1
